Base;Date
55,5196;30.10.2012
48,0408;31.10.2012
33,1421;01.11.2012
35,0079;02.11.2012
35,4763;03.11.2012
28,4463;04.11.2012
43,1117;05.11.2012
43,5917;06.11.2012
35,4571;07.11.2012
39,8113;08.11.2012
51,0229;09.11.2012
39,5071;10.11.2012
34,7183;11.11.2012
52,555;12.11.2012
52,0483;13.11.2012
50,8867;14.11.2012
55,5458;15.11.2012
52,0888;16.11.2012
40,9408;17.11.2012
42,6067;18.11.2012
54,2613;19.11.2012
52,2;20.11.2012
50,395;21.11.2012
48,8038;22.11.2012
47,3421;23.11.2012
41,6133;24.11.2012
19,9125;25.11.2012
44,2242;26.11.2012
55,4921;27.11.2012
52,9467;28.11.2012
52,7358;29.11.2012
57,6858;30.11.2012
46,0083;01.12.2012
41,1075;02.12.2012
51,2625;03.12.2012
47,3833;04.12.2012
54,8583;05.12.2012
53,8967;06.12.2012
52,9013;07.12.2012
50,1183;08.12.2012
35,0788;09.12.2012
52,9546;10.12.2012
60,3242;11.12.2012
72,0688;12.12.2012
65,4413;13.12.2012
49,3496;14.12.2012
33,8792;15.12.2012
33,2408;16.12.2012
53,2763;17.12.2012
55,24;18.12.2012
52,9675;19.12.2012
46,7275;20.12.2012
38,1542;21.12.2012
37,3608;22.12.2012
16,1638;23.12.2012
16,6033;24.12.2012
-56,87;25.12.2012
-45,7679;26.12.2012
20,445;27.12.2012
31,2979;28.12.2012
16,6779;29.12.2012
10,3658;30.12.2012
8,3954;31.12.2012
17,9254;01.01.2013
38,2354;02.01.2013
33,7725;03.01.2013
32,1233;04.01.2013
33,0275;05.01.2013
29,0108;06.01.2013
52,3963;07.01.2013
53,1458;08.01.2013
51,9738;09.01.2013
50,0317;10.01.2013
52,8025;11.01.2013
44,5171;12.01.2013
38,8088;13.01.2013
52,0471;14.01.2013
55,8525;15.01.2013
54,9638;16.01.2013
53,4367;17.01.2013
50,9946;18.01.2013
39,4371;19.01.2013
34,6708;20.01.2013
47,5904;21.01.2013
53,9558;22.01.2013
59,7425;23.01.2013
59,2475;24.01.2013
52,2588;25.01.2013
36,8433;26.01.2013
31,1196;27.01.2013
44,9029;28.01.2013
32,2679;29.01.2013
29,3521;30.01.2013
26,0588;31.01.2013
34,9775;01.02.2013
35,5263;02.02.2013
28,8013;03.02.2013
32,3521;04.02.2013
32,3175;05.02.2013
46,83;06.02.2013
50,8738;07.02.2013
49,4371;08.02.2013
40,7179;09.02.2013
35,0329;10.02.2013
40,9638;11.02.2013
49,4621;12.02.2013
52,6842;13.02.2013
46,6646;14.02.2013
50,9588;15.02.2013
41,2925;16.02.2013
38,4363;17.02.2013
53,5321;18.02.2013
48,5492;19.02.2013
46,1929;20.02.2013
52,8458;21.02.2013
47,9508;22.02.2013
37,3179;23.02.2013
33,7483;24.02.2013
52,6825;25.02.2013
55,4913;26.02.2013
59,665;27.02.2013
53,9592;28.02.2013
51,045;01.03.2013
42,2854;02.03.2013
38,3517;03.03.2013
48,9013;04.03.2013
41,5896;05.03.2013
49,0038;06.03.2013
41,455;07.03.2013
36,2363;08.03.2013
30,4454;09.03.2013
18,5717;10.03.2013
37,8696;11.03.2013
46,5267;12.03.2013
55,3367;13.03.2013
53,3404;14.03.2013
44,3133;15.03.2013
27,885;16.03.2013
10,8321;17.03.2013
36,5858;18.03.2013
43,7063;19.03.2013
50,3575;20.03.2013
55,5675;21.03.2013
38,9404;22.03.2013
21,1713;23.03.2013
12,6954;24.03.2013
34,3421;25.03.2013
38,6083;26.03.2013
47,0325;27.03.2013
49,2692;28.03.2013
38,74;29.03.2013
38,9575;30.03.2013
32,2387;31.03.2013
24,8946;01.04.2013
49,0513;02.04.2013
40,0696;03.04.2013
48,1113;04.04.2013
53,4525;05.04.2013
41,5558;06.04.2013
40,3438;07.04.2013
58,4138;08.04.2013
55,9721;09.04.2013
57,2658;10.04.2013
55,3863;11.04.2013
43,5783;12.04.2013
28,3833;13.04.2013
16,1079;14.04.2013
39,8479;15.04.2013
43,9367;16.04.2013
38,2633;17.04.2013
27,3475;18.04.2013
31,2292;19.04.2013
28,1796;20.04.2013
16,3946;21.04.2013
40,7063;22.04.2013
32,5763;23.04.2013
37,6904;24.04.2013
32,6633;25.04.2013
34,1292;26.04.2013
26,2179;27.04.2013
23,3692;28.04.2013
35,5942;29.04.2013
36,7992;30.04.2013
14,1963;01.05.2013
32,9775;02.05.2013
35,1363;03.05.2013
30,4888;04.05.2013
18,1404;05.05.2013
39,875;06.05.2013
35,7188;07.05.2013
33,1213;08.05.2013
24,0846;09.05.2013
31,575;10.05.2013
19,5346;11.05.2013
11,4917;12.05.2013
33,9025;13.05.2013
34,9758;14.05.2013
32,9338;15.05.2013
35,7271;16.05.2013
36,5575;17.05.2013
23,6067;18.05.2013
14,2417;19.05.2013
