Peak (09-20);Date
45,9308;04.03.2020
41,1108;05.03.2020
35,6758;06.03.2020
31,02;07.03.2020
18,2167;08.03.2020
44,1533;09.03.2020
35,225;10.03.2020
30,6517;11.03.2020
26,985;12.03.2020
25,0475;13.03.2020
29,9575;14.03.2020
2,1308;15.03.2020
33,9983;16.03.2020
29,0542;17.03.2020
27,7742;18.03.2020
29,6633;19.03.2020
25,9133;20.03.2020
10,3125;21.03.2020
-0,8492;22.03.2020
17,3925;23.03.2020
20,1525;24.03.2020
23,575;25.03.2020
22,6733;26.03.2020
21,3583;27.03.2020
15,5567;28.03.2020
-0,0317;29.03.2020
23,1258;30.03.2020
24,2267;31.03.2020
22,715;01.04.2020
23,3375;02.04.2020
21,5942;03.04.2020
17,5017;04.04.2020
1,855;05.04.2020
19,0433;06.04.2020
21,675;07.04.2020
25,0267;08.04.2020
22,185;09.04.2020
18,9183;10.04.2020
16,6675;11.04.2020
7,6325;12.04.2020
-30,7425;13.04.2020
21,415;14.04.2020
17,3683;15.04.2020
22,7225;16.04.2020
26,5917;17.04.2020
19,0775;18.04.2020
2,8367;19.04.2020
14,1258;20.04.2020
4,885;21.04.2020
5,1817;22.04.2020
23,6675;23.04.2020
17,7808;24.04.2020
15,4817;25.04.2020
14,8017;26.04.2020
24,4425;27.04.2020
26,3692;28.04.2020
23,8583;29.04.2020
20,5517;30.04.2020
4,3325;01.05.2020
10,5933;02.05.2020
10,5567;03.05.2020
27,0633;04.05.2020
21,0533;05.05.2020
20,5908;06.05.2020
22,115;07.05.2020
21,4908;08.05.2020
20,2758;09.05.2020
9,1417;10.05.2020
16,4292;11.05.2020
21,5767;12.05.2020
32,0192;13.05.2020
23,5017;14.05.2020
21,2683;15.05.2020
14,0283;16.05.2020
2,6017;17.05.2020
18,8733;18.05.2020
22,8742;19.05.2020
29,9892;20.05.2020
16,9825;21.05.2020
18,8458;22.05.2020
10,69;23.05.2020
-39,3475;24.05.2020
19,1175;25.05.2020
25,1142;26.05.2020
22,2217;27.05.2020
19,99;28.05.2020
21,9708;29.05.2020
8,925;30.05.2020
-6,6167;31.05.2020
4,8225;01.06.2020
26,4942;02.06.2020
28,9625;03.06.2020
29,8933;04.06.2020
27,5125;05.06.2020
4,9025;06.06.2020
15,9567;07.06.2020
33,8725;08.06.2020
41,4175;09.06.2020
35,0717;10.06.2020
24,5908;11.06.2020
21,2458;12.06.2020
18,6817;13.06.2020
18,1717;14.06.2020
34,6017;15.06.2020
37,2392;16.06.2020
39,8333;17.06.2020
34,7567;18.06.2020
31,0775;19.06.2020
21,8808;20.06.2020
16,2508;21.06.2020
30,9258;22.06.2020
