Base;Date
30,1213;30.12.2019
35,7254;31.12.2019
35,0333;01.01.2020
40,1363;02.01.2020
38,1125;03.01.2020
33,2721;04.01.2020
35,6967;05.01.2020
38,3775;06.01.2020
41,56;07.01.2020
45,0829;08.01.2020
41,1521;09.01.2020
41,6313;10.01.2020
36,4288;11.01.2020
30,7917;12.01.2020
42,2008;13.01.2020
42,48;14.01.2020
40,1775;15.01.2020
42,7588;16.01.2020
39,8683;17.01.2020
38,8604;18.01.2020
38,0833;19.01.2020
45,0488;20.01.2020
46,2829;21.01.2020
47,7963;22.01.2020
51,5496;23.01.2020
50,5063;24.01.2020
40,7429;25.01.2020
36,3204;26.01.2020
42,2208;27.01.2020
39,7563;28.01.2020
39,8246;29.01.2020
40,1946;30.01.2020
39,8271;31.01.2020
38,3788;01.02.2020
26,1117;02.02.2020
27,6946;03.02.2020
28,3188;04.02.2020
36,3179;05.02.2020
37,01;06.02.2020
36,7575;07.02.2020
28,2538;08.02.2020
27,7558;09.02.2020
31,6633;10.02.2020
22,4892;11.02.2020
22,6858;12.02.2020
37,4679;13.02.2020
35,9417;14.02.2020
26,0754;15.02.2020
8,3292;16.02.2020
24,2421;17.02.2020
30,0029;18.02.2020
32,5208;19.02.2020
30,7538;20.02.2020
30,3196;21.02.2020
26,8233;22.02.2020
13,0438;23.02.2020
32,0342;24.02.2020
28,6379;25.02.2020
31,6713;26.02.2020
38,4742;27.02.2020
31,2767;28.02.2020
23,11;29.02.2020
23,1675;01.03.2020
33,1792;02.03.2020
36,6808;03.03.2020
39,6108;04.03.2020
36,0717;05.03.2020
31,2967;06.03.2020
29,0888;07.03.2020
18,4217;08.03.2020
37,5767;09.03.2020
30,3375;10.03.2020
27,5221;11.03.2020
25,9396;12.03.2020
24,0038;13.03.2020
30,2708;14.03.2020
8,545;15.03.2020
31,1304;16.03.2020
28,25;17.03.2020
26,9413;18.03.2020
28,5917;19.03.2020
24,9375;20.03.2020
10,9413;21.03.2020
4,3158;22.03.2020
16,9383;23.03.2020
20,5846;24.03.2020
23,0896;25.03.2020
22,4704;26.03.2020
21,7604;27.03.2020
17,1475;28.03.2020
4,8948;29.03.2020
23,32;30.03.2020
24,8642;31.03.2020
23,5525;01.04.2020
23,5317;02.04.2020
22,5363;03.04.2020
19,8546;04.04.2020
6,2;05.04.2020
17,9321;06.04.2020
23,2475;07.04.2020
26,0654;08.04.2020
23,6275;09.04.2020
22,67;10.04.2020
20,5446;11.04.2020
12,4092;12.04.2020
-13,4333;13.04.2020
19,5367;14.04.2020
20,225;15.04.2020
24,5013;16.04.2020
26,6854;17.04.2020
20,0379;18.04.2020
7,7875;19.04.2020
11,7067;20.04.2020
6,3017;21.04.2020
8,9904;22.04.2020
26,0104;23.04.2020
20,4754;24.04.2020
16,8513;25.04.2020
18,4929;26.04.2020
25,1833;27.04.2020
24,8888;28.04.2020
22,8725;29.04.2020
19,9275;30.04.2020
6,895;01.05.2020
12,3275;02.05.2020
13,7721;03.05.2020
26,0817;04.05.2020
21,6467;05.05.2020
21,4729;06.05.2020
23,2929;07.05.2020
23,4854;08.05.2020
21,77;09.05.2020
12,5796;10.05.2020
14,1063;11.05.2020
22,1242;12.05.2020
28,6233;13.05.2020
22,5796;14.05.2020
21,07;15.05.2020
16,8379;16.05.2020
9,6658;17.05.2020
19,7213;18.05.2020
23,3208;19.05.2020
30,3288;20.05.2020
19,3479;21.05.2020
18,925;22.05.2020
11,5083;23.05.2020
-22,7521;24.05.2020
18,5233;25.05.2020
26,2571;26.05.2020
22,5913;27.05.2020
20,3133;28.05.2020
22,3608;29.05.2020
12,5367;30.05.2020
1,9083;31.05.2020
8,6954;01.06.2020
27,1063;02.06.2020
28,395;03.06.2020
26,5525;04.06.2020
24,2183;05.06.2020
6,8929;06.06.2020
17,6133;07.06.2020
31,1625;08.06.2020
36,0129;09.06.2020
31,2625;10.06.2020
24,0633;11.06.2020
21,1025;12.06.2020
19,895;13.06.2020
18,7688;14.06.2020
31,0533;15.06.2020
33,9688;16.06.2020
36,8704;17.06.2020
31,7996;18.06.2020
29,855;19.06.2020
24,0846;20.06.2020
19,4479;21.06.2020
29,7192;22.06.2020
32,3571;23.06.2020
35,4904;24.06.2020
34,8;25.06.2020
34,9246;26.06.2020
26,825;27.06.2020
17,3342;28.06.2020
28,4988;29.06.2020
27,3688;30.06.2020
33,0404;01.07.2020
38,9521;02.07.2020
35,2946;03.07.2020
20,46;04.07.2020
0,8625;05.07.2020
23,9996;06.07.2020
32,6371;07.07.2020
41,2138;08.07.2020
42,1713;09.07.2020
37,1413;10.07.2020
28,7692;11.07.2020
24,7983;12.07.2020
34,3133;13.07.2020
36,6758;14.07.2020
41,4246;15.07.2020
44,0058;16.07.2020
37,4771;17.07.2020
29,3554;18.07.2020
27,8658;19.07.2020
33,5804;20.07.2020
33,0433;21.07.2020
35,1833;22.07.2020
36,7079;23.07.2020
32,5354;24.07.2020
26,9613;25.07.2020
20,4004;26.07.2020
33,4604;27.07.2020
31,0775;28.07.2020
31,6629;29.07.2020
36,8142;30.07.2020
39,4138;31.07.2020
29,4904;01.08.2020
28,8621;02.08.2020
36,7217;03.08.2020
36,385;04.08.2020
30,4775;05.08.2020
34,0017;06.08.2020
36,3892;07.08.2020
32,2938;08.08.2020
28,7671;09.08.2020
37,3688;10.08.2020
36,9613;11.08.2020
36,8288;12.08.2020
38,8208;13.08.2020
40,1954;14.08.2020
31,8608;15.08.2020
28,7108;16.08.2020
40,3354;17.08.2020
42,2346;18.08.2020
38,2608;19.08.2020
38,0829;20.08.2020
32,3013;21.08.2020
27,2383;22.08.2020
21,895;23.08.2020
44,7413;24.08.2020
38,9683;25.08.2020
33,5742;26.08.2020
48,0738;27.08.2020
41,1617;28.08.2020
35,7638;29.08.2020
33,8096;30.08.2020
54,0367;31.08.2020
49,8083;01.09.2020
49,8221;02.09.2020
42,1875;03.09.2020
39,9313;04.09.2020
33,8121;05.09.2020
34,8346;06.09.2020
43,7921;07.09.2020
40,7975;08.09.2020
40,375;09.09.2020
48,045;10.09.2020
48,7954;11.09.2020
37,4933;12.09.2020
33,9683;13.09.2020
53,6929;14.09.2020
70,8633;15.09.2020
55,9163;16.09.2020
49,2717;17.09.2020
44,3529;18.09.2020
37,745;19.09.2020
38,0088;20.09.2020
61,9196;21.09.2020
54,0888;22.09.2020
49,4333;23.09.2020
45,7863;24.09.2020
42,2413;25.09.2020
33,1038;26.09.2020
30,2033;27.09.2020
47,2604;28.09.2020
58,6183;29.09.2020
50,3267;30.09.2020
42,5529;01.10.2020
37,2654;02.10.2020
20,855;03.10.2020
9,3467;04.10.2020
32,5675;05.10.2020
34,7179;06.10.2020
37,1258;07.10.2020
32,9558;08.10.2020
40,785;09.10.2020
32,3883;10.10.2020
32,4454;11.10.2020
46,9967;12.10.2020
45,3775;13.10.2020
37,96;14.10.2020
41,9192;15.10.2020
47,0504;16.10.2020
40,9638;17.10.2020
34,065;18.10.2020
44,8133;19.10.2020
37,5133;20.10.2020
35,46;21.10.2020
37,4925;22.10.2020
45,4025;23.10.2020
33,2967;24.10.2020
15,2328;25.10.2020
38,6279;26.10.2020
35,925;27.10.2020
32,8354;28.10.2020
35,2538;29.10.2020
31,1038;30.10.2020
31,2246;31.10.2020
17,8458;01.11.2020
28,08;02.11.2020
